Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
01/12/2000,Next Friday,A streetwise man flees South Central L.A. for the suburbs and his lottery winner uncle and cousin to avoid a vengeful thug who escaped prison.,Steve Carr,"Ice Cube,
Mike Epps,
John Witherspoon",Terence Blanchard,Friday 2
01/21/2000,The Boondock Saints,"In Boston, Irish twins Connor and Murphy set out with friend Rocco to eliminate evil in God's name. FBI agent Smecker pursues yet believes in them.",Troy Duffy,"Willem Dafoe,
Sean Patrick Flanery,
Norman Reedus",Jeff Danna,
02/04/2000,Scream 3,"When a self-isolated Sidney and her friends visit the Hollywood set of Stab 3, a new Ghostface killer, with a family tie to her, targets the film cast.",Wes Craven,"David Arquette,
Neve Campbell,
Courteney Cox",Marco Beltrami,
02/11/2000,The Beach,"Richard follows a map he finds in Bangkok to a solitary, beautiful island. He and a French couple join an idealist colony led by English woman Sal.",Danny Boyle,"Leonardo DiCaprio,
Tilda Swinton,
Virginie Ledoyen",Angelo Badalamenti,
02/11/2000,The Tigger Movie,"In the Hundred Acre Wood, Tigger searches for someone to bounce with him, but all of his friends busy preparing for winter. He searches for family.",Jun Falkenstein,"Jim Cummings,
Nikita Hopkins,
Ken Sansom",Harry Gregson-Williams,
02/18/2000,Boiler Room,"To please his judge father, a college dropout gets a job as a broker for an investment firm, but it is a firm that creates demand for artificial companies.",Ben Younger,"Giovanni Ribisi,
Vin Diesel,
Nia Long",The Angel,
02/18/2000,Hanging Up,"A trio of sisters bond over their ambivalence toward the approaching death of their father, to whom none of them was particularly close.",Diane Keaton,"Meg Ryan,
Diane Keaton,
Lisa Kudrow",David Hirschfelder,
02/18/2000,Pitch Black,A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that come out to feast only at night.,David Twohy,"Vin Diesel,
Radha Mitchell,
Cole Hauser",Graeme Revell,Riddick 1
02/18/2000,The Whole Nine Yards,A struggling dentist's life is turned upside down when a famous gangster moves in next door and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts.,Jonathan Lynn,"Bruce Willis,
Matthew Perry,
Rosanna Arquette",Randy Edelman,
02/23/2000,Wonder Boys,"An English professor deals with his wife leaving him, the arrival of his editor who has been waiting for his book for seven years, and a gifted student.",Curtis Hanson,"Michael Douglas,
Tobey Maguire,
Frances McDormand",Christopher Young,
02/25/2000,Reindeer Games,"After assuming his dead cellmate's identity to win a girl who thinks he was writing, ex-convict Rudy pretends he has knowledge to plot a casino heist.",John Frankenheimer,"Ben Affleck,
Gary Sinise,
Charlize Theron",Alan Silvestri,
03/03/2000,Drowning Mona,"In New York, local police chief Wyatt investigates the mysterious death of Mona, an abusive woman who drove her son's car off of a cliff and drowned.",Nick Gomez,"Danny DeVito,
Bette Midler,
Neve Campbell",Michael Tavera,
03/03/2000,Ghost Dog: The Way of the Samurai,An African-American Mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.,Jim Jarmusch,"Forest Whitaker,
Cliff Gorman,
Henry Silva",RZA,
03/03/2000,What Planet Are You From?,"An alien from a male society takes the guise of a human, Harold, and tries to impregnate Susan to bring a child back home. An FAA agent distrusts",Mike Nichols,"Garry Shandling,
Annette Bening,
Greg Kinnear",Carter Burwell,
03/10/2000,Mission to Mars,"In 2020, when an arrival on Mars ends in disaster after reporting an unidentified structure, a mission is launched to investigate and rescue a survivor.",Brian De Palma,"Gary Sinise,
Don Cheadle,
Connie Nielsen",Ennio Morricone,
03/10/2000,The Ninth Gate,A rare book dealer is hired by a wealthy collector to seek out the last two other copies of a demon text that may be capable of summoning the Devil.,Roman Polanski,"Johnny Depp,
Lena Olin,
Frank Langella",Wojciech Kilar,
03/17/2000,Erin Brockovich,"In 1993, unemployed single mother Erin is hired as a legal assistant and fights against a California electric company polluting Hinkley's water supply.",Steven Soderbergh,"Julia Roberts,
Albert Finney,
Aaron Eckhart",Thomas Newman,
03/17/2000,Final Destination,"After a teenager has a terrifying vision of him and his classmates dying in a plane explosion, he saves himself and a few others only to have Death hunt them down one by one.",James Wong,"Devon Sawa,
Ali Larter,
Kerr Smith",Shirley Walker,
03/22/2000,Romeo Must Die,Former police officer Han seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money treaty with his father.,Andrzej Bartkowiak,"Jet Li,
Aaliyah,
Isaiah Washington","Stanley Clarke,
Timbaland",
03/31/2000,High Fidelity,"In Chicago, Rob, the owner of the Championship Vinyl record store, and a compulsive list maker, recounts his top five breakups, like his current.",Stephen Frears,"John Cusack,
Jack Black,
Lisa Bonet",Howard Shore,
03/31/2000,The Road to El Dorado,"In 1519 Spain, two swindlers follow a map, wash ashore in the New World, and enter a hidden city of gold where inhabitants mistake them for gods.","Don Paul,
Bibo Bergeron","Kevin Kline,
Kenneth Branagh,
Rosie Perez","Hans Zimmer,
John Powell",
03/31/2000,The Skulls,"A poor senior at a top college gets accepted into a secret fraternity. Disturbing incidents, such as his best friend's suicide, lead him to investigate it.",Rob Cohen,"Joshua Jackson,
Paul Walker,
Leslie Bibb",Randy Edelman,
04/07/2000,Ready to Rumble,Two slacker wrestling fans are devastated by the ousting of their favorite character by a promoter. They team up with him to make him a champion.,Brian Robbins,"David Arquette,
Scott Caan,
Oliver Platt",George S. Clinton,
